,Loss,train-acc,test-acc
160,0.40141033174470064,88.14,92.48
161,0.4003931024048943,87.99,92.3
162,0.3971777376490645,88.03333333333333,92.58
163,0.39693291585391854,87.9725,92.63
164,0.40022762963408604,87.97,92.69
165,0.3847356468262151,88.6,92.53
166,0.37975666335923597,88.75999999999999,92.44
167,0.3831406262877087,88.52666666666667,92.63
168,0.3866050752145238,88.395,92.38
169,0.3858654287386686,88.42,92.4
170,0.3670628526173532,89.13,92.52
171,0.3760091014197096,88.75999999999999,92.44
172,0.3739525160808116,88.77666666666667,92.43
173,0.3738104813923128,88.735,92.41
174,0.3744526169512421,88.724,92.52
175,0.357601990503259,89.33,92.56
176,0.3569448547740467,89.315,92.48
177,0.3616063487408683,89.22,92.69
178,0.362106650627451,89.1275,92.35
179,0.36203738430347293,89.12,92.53
180,0.3549466218072921,89.45,92.47
181,0.35305254872795194,89.415,92.45
182,0.35210868470494944,89.45333333333333,92.59
183,0.3541930746827275,89.33,92.61
184,0.35606830478310586,89.31,92.43
185,0.34528847081214187,89.25999999999999,92.37
186,0.34846299230679867,89.49000000000001,92.55
187,0.34450934452811877,89.75999999999999,92.56
188,0.34607957781571896,89.6525,92.45
189,0.347598425796628,89.59,92.45
190,0.3282841834072024,90.11,92.45
191,0.33309312590025364,90.005,92.47
192,0.3342110237143934,89.97666666666667,92.53
193,0.3368791731754318,89.9225,92.42
194,0.3376485440766439,89.87,92.47
195,0.3347913986928761,90.23,92.57
196,0.33230000875517723,90.235,92.39
197,0.3326005807997038,90.20666666666666,92.47
198,0.3286580936242826,90.2975,92.51
199,0.3285392406195402,90.29,92.36
200,0.32092704792693255,90.25999999999999,92.27
201,0.31798449573665855,90.405,92.43
202,0.3182921453102802,90.36,92.48
203,0.31908153075468726,90.33,92.49
204,0.32188946952726694,90.19800000000001,92.47
205,0.3085655060512945,91.08000000000001,92.42
206,0.31726302509382365,90.635,92.49
207,0.31676324874473116,90.61,92.48
208,0.32017271923134105,90.4875,92.56
209,0.32069628354068846,90.42,92.32
210,0.314174276759848,90.39,92.47
211,0.31408796172146686,90.31,92.36
212,0.3129090625462122,90.44666666666666,92.22
213,0.3104024667800404,90.62750000000001,92.32
214,0.3101358611213043,90.67,92.45
215,0.30793681744113566,90.86,92.58
216,0.30723592899390495,91.045,92.44
217,0.30562202508452657,91.03,92.38
218,0.30734769339521884,90.945,92.41
219,0.3052076503678225,90.94200000000001,92.43
220,0.29252129306923597,91.35,92.53
221,0.2941827242313884,91.41,92.38
222,0.3013363677348631,91.05333333333333,92.42
223,0.3010229931321228,91.0125,92.17
224,0.30154765332276,90.974,92.42
225,0.2771283176308498,91.96,92.42
226,0.28409933830797673,91.45,92.38
227,0.2889937711972743,91.17666666666666,92.48
228,0.28888574400963263,91.22,92.47
229,0.2887748726097867,91.232,92.13
230,0.2808234290974215,91.64999999999999,92.32
231,0.28118060326995326,91.685,92.43
232,0.2830929056244592,91.61333333333333,92.34
233,0.28703149032441433,91.435,92.21
234,0.28785405906280503,91.434,92.26
235,0.2817642929619178,91.99000000000001,92.3
236,0.27796008852217347,91.92,92.43
237,0.27793782694699865,91.94666666666666,92.48
238,0.2786908025061712,91.93,92.37
239,0.28169526794608685,91.72,92.37
240,0.2680697429399006,92.12,92.35
241,0.27395806087902747,91.825,92.28
242,0.27527639726083725,91.76666666666667,92.38
243,0.2741619503572583,91.8025,92.46
244,0.27465664961403236,91.766,92.42
245,0.2774673752179369,91.89,92.35
246,0.2716756652912591,92.065,92.36
247,0.2758421364102202,91.82000000000001,92.24
248,0.27749282034125644,91.685,92.31
249,0.277550704801362,91.652,92.45
